"Checked"	"Master"	"Accession"	"Description"	"Coverage"	"# Peptides"	"# PSMs"	"# Unique Peptides"	"# Protein Groups"	"# AAs"	"MW [kDa]"	"calc. pI"	"Modifications"	"Abundance Ratio: (127N, Pyr) / (126, Pyr)"	"Abundance Ratio: (127C, Pyr) / (126, Pyr)"	"Abundance Ratio: (128N, Pyr) / (126, Pyr)"	"Abundance Ratio: (128C, Pyr) / (126, Pyr)"	"Abundance Ratio: (129C, Pyr) / (126, Pyr)"	"Abundance Ratio: (129N, Pyr) / (126, Pyr)"	"Abundance Ratio: (130N, Pyr) / (126, Pyr)"	"Abundance Ratio: (130C, Pyr) / (126, Pyr)"	"Abundance Ratio: (131, Pyr) / (126, Pyr)"	"Abundance: F3: 126, Sample, Pyr"	"Abundance: F3: 127N, Sample, Pyr"	"Abundance: F3: 127C, Sample, Pyr"	"Abundance: F3: 128N, Sample, Pyr"	"Abundance: F3: 128C, Sample, Pyr"	"Abundance: F3: 129N, Sample, Pyr"	"Abundance: F3: 129C, Sample, Pyr"	"Abundance: F3: 130N, Sample, Pyr"	"Abundance: F3: 130C, Sample, Pyr"	"Abundance: F3: 131, Sample, Pyr"	"Abundances Count: F3: 126, Sample, Pyr"	"Abundances Count: F3: 127N, Sample, Pyr"	"Abundances Count: F3: 127C, Sample, Pyr"	"Abundances Count: F3: 128N, Sample, Pyr"	"Abundances Count: F3: 128C, Sample, Pyr"	"Abundances Count: F3: 129N, Sample, Pyr"	"Abundances Count: F3: 129C, Sample, Pyr"	"Abundances Count: F3: 130N, Sample, Pyr"	"Abundances Count: F3: 130C, Sample, Pyr"	"Abundances Count: F3: 131, Sample, Pyr"	"emPAI"	"# Razor Peptides"	"Score Mascot"	"# Peptides Mascot"
"False"	"IsMasterProtein"	"PF3D7_1149000"	"organism=Plasmodium_falciparum_3D7 | product=antigen 332, DBL-like protein (Pf332) | location=Pf3D7_11_v3:1950210-1968726(+) | length=6093 | sequence_SO=chromosome | SO=protein_coding"	"28.3768258657476"	"133"	"290"	"133"	"1"	"6093"	"688.87"	"3.89"	""	"1.003"	"0.995"	"0.929"	"0.371"	"0.311"	"0.337"	"0.316"	"0.261"	"0.251"	"37853.5"	"37985.4"	"37671.7"	"35180.6"	"14043.3"	"12755.9"	"11787.1"	"11952.8"	"9866.9"	"9483.5"	"151"	"151"	"151"	"151"	"151"	"151"	"151"	"151"	"151"	"151"	"3.642"	"0"	"8121.80361899809"	"133"
"False"	"IsMasterProtein"	"PF3D7_1462800"	"organism=Plasmodium_falciparum_3D7 | product=glyceraldehyde-3-phosphate dehydrogenase (GAPDH) | location=Pf3D7_14_v3:2559098-2560347(+) | length=337 | sequence_SO=chromosome | SO=protein_coding"	"78.9317507418398"	"22"	"387"	"21"	"1"	"337"	"36.612"	"7.69"	""	"0.935"	"0.801"	"0.779"	"0.175"	"0.075"	"0.131"	"0.062"	"0.051"	"0.043"	"42140.8"	"39409.7"	"33767.3"	"32825.3"	"7355.3"	"5527.6"	"3165.7"	"2629.5"	"2152.7"	"1793.9"	"35"	"35"	"35"	"35"	"35"	"35"	"35"	"35"	"35"	"35"	"150.991"	"2"	"7639.63425467794"	"22"
"False"	"IsMasterProtein"	"PF3D7_1224300"	"organism=Plasmodium_falciparum_3D7 | product=polyadenylate-binding protein, putative (PABP) | location=Pf3D7_12_v3:988628-991255(+) | length=875 | sequence_SO=chromosome | SO=protein_coding"	"40.4571428571429"	"34"	"324"	"34"	"1"	"875"	"97.169"	"8.88"	""	"0.984"	"0.746"	"0.586"	"0.398"	"0.360"	"0.373"	"0.375"	"0.329"	"0.336"	"32986.9"	"32457.6"	"24606.1"	"19337.2"	"13128.8"	"12304.9"	"11880.3"	"12355.8"	"10858.4"	"11085.5"	"71"	"71"	"71"	"71"	"71"	"71"	"71"	"71"	"71"	"71"	"297.538"	"0"	"6732.18615330332"	"34"
"False"	"IsMasterProtein"	"PF3D7_1451100"	"organism=Plasmodium_falciparum_3D7 | product=elongation factor 2 (eEF2) | location=Pf3D7_14_v3:2090902-2093400(+) | length=832 | sequence_SO=chromosome | SO=protein_coding"	"43.2692307692308"	"35"	"340"	"33"	"1"	"832"	"93.462"	"6.8"	""	"1.059"	"1.084"	"1.172"	"0.599"	"0.145"	"0.233"	"0.116"	"0.098"	"0.087"	"34456.9"	"36480.9"	"37338.1"	"40376.8"	"20636.7"	"8041.8"	"5003.5"	"3998.8"	"3372.8"	"2997.1"	"66"	"66"	"66"	"66"	"66"	"66"	"66"	"66"	"66"	"66"	"40.687"	"2"	"6720.56642424021"	"35"
"False"	"IsMasterProtein"	"PF3D7_1011800"	"organism=Plasmodium_falciparum_3D7 | product=PRE-binding protein (PREBP) | location=Pf3D7_10_v3:455398-458817(+) | length=1139 | sequence_SO=chromosome | SO=protein_coding"	"44.2493415276558"	"58"	"452"	"55"	"1"	"1139"	"131.545"	"9.16"	""	"1.055"	"1.002"	"1.132"	"0.809"	"0.806"	"0.803"	"0.840"	"0.729"	"0.765"	"37558.1"	"39612.4"	"37645.5"	"42516.4"	"30397.6"	"30149.7"	"30283.4"	"31566.7"	"27385.6"	"28724.4"	"92"	"92"	"92"	"92"	"92"	"92"	"92"	"92"	"92"	"92"	"41.518"	"1"	"6695.06075628198"	"58"
"False"	"IsMasterProtein"	"PF3D7_0500800"	"organism=Plasmodium_falciparum_3D7 | product=mature parasite-infected erythrocyte surface antigen (MESA) | location=Pf3D7_05_v3:43327-47761(-) | length=1434 | sequence_SO=chromosome | SO=protein_coding"	"32.6359832635983"	"39"	"237"	"39"	"1"	"1434"	"168.186"	"4.78"	""	"1.061"	"0.987"	"1.070"	"0.762"	"0.735"	"0.732"	"0.744"	"0.630"	"0.699"	"19640.5"	"20843.0"	"19387.3"	"21019.2"	"14964.5"	"14377.8"	"14433.4"	"14608.5"	"12369.8"	"13719.8"	"60"	"60"	"60"	"60"	"60"	"60"	"60"	"60"	"60"	"60"	"5.373"	"0"	"5594.82293741"	"39"
"False"	"IsMasterProtein"	"PF3D7_1029600"	"organism=Plasmodium_falciparum_3D7 | product=adenosine deaminase (ADA) | location=Pf3D7_10_v3:1206302-1207405(+) | length=367 | sequence_SO=chromosome | SO=protein_coding"	"54.2234332425068"	"19"	"394"	"19"	"1"	"367"	"42.438"	"5.69"	""	"1.122"	"1.012"	"1.062"	"0.828"	"0.753"	"0.784"	"0.727"	"0.475"	"0.248"	"30956.3"	"34747.7"	"31315.2"	"32863.2"	"25625.0"	"24259.3"	"23302.5"	"22502.2"	"14707.4"	"7670.8"	"33"	"33"	"33"	"33"	"33"	"33"	"33"	"33"	"33"	"33"	"55.234"	"0"	"5571.8687893516"	"19"
"False"	"IsMasterProtein"	"PF3D7_0604500"	"organism=Plasmodium_falciparum_3D7 | product=conserved Plasmodium protein, unknown function | location=Pf3D7_06_v3:189012-198078(+) | length=2874 | sequence_SO=chromosome | SO=protein_coding"	"35.2470424495477"	"91"	"402"	"91"	"1"	"2874"	"334.204"	"8.4"	""	"1.037"	"1.018"	"1.156"	"0.826"	"0.809"	"0.810"	"0.863"	"0.720"	"0.773"	"26173.5"	"27136.2"	"26631.8"	"30254.3"	"21627.8"	"21212.8"	"21166.0"	"22577.4"	"18838.1"	"20226.2"	"156"	"156"	"156"	"156"	"156"	"156"	"156"	"156"	"156"	"156"	"14.136"	"0"	"5515.60178471626"	"91"
"False"	"IsMasterProtein"	"PF3D7_0922500"	"organism=Plasmodium_falciparum_3D7 | product=phosphoglycerate kinase (PGK) | location=Pf3D7_09_v3:913230-914480(+) | length=416 | sequence_SO=chromosome | SO=protein_coding"	"73.3173076923077"	"26"	"260"	"26"	"1"	"416"	"45.398"	"7.83"	""	"1.054"	"0.850"	"0.280"	"0.130"	"0.071"	"0.085"	"0.065"	"0.055"	"0.049"	"46108.4"	"48619.4"	"39181.7"	"12929.3"	"5977.8"	"3934.6"	"3263.8"	"3019.5"	"2532.2"	"2261.1"	"43"	"43"	"43"	"43"	"43"	"43"	"43"	"43"	"43"	"43"	"57.434"	"0"	"5512.27210257207"	"26"
"False"	"IsMasterProtein"	"PF3D7_0708800"	"organism=Plasmodium_falciparum_3D7 | product=heat shock protein 110 (HSP110c) | location=Pf3D7_07_v3:395711-398332(+) | length=873 | sequence_SO=chromosome | SO=protein_coding"	"47.5372279495991"	"38"	"269"	"38"	"1"	"873"	"99.902"	"5.69"	""	"1.051"	"1.043"	"1.050"	"0.213"	"0.114"	"0.169"	"0.104"	"0.091"	"0.075"	"30990.5"	"32568.9"	"32335.3"	"32531.8"	"6605.8"	"5225.2"	"3521.4"	"3233.9"	"2823.0"	"2328.7"	"68"	"68"	"68"	"68"	"68"	"68"	"68"	"68"	"68"	"68"	"41.408"	"0"	"5450.15583592712"	"38"
"False"	"IsMasterProtein"	"PF3D7_1343000"	"organism=Plasmodium_falciparum_3D7 | product=phosphoethanolamine N-methyltransferase (PMT) | location=Pf3D7_13_v3:1696894-1698113(+) | length=266 | sequence_SO=chromosome | SO=protein_coding"	"66.9172932330827"	"13"	"214"	"13"	"1"	"266"	"31.024"	"5.6"	"Acetyl [N-Term]"	"1.251"	"0.687"	"0.585"	"0.097"	"0.044"	"0.078"	"0.038"	"0.030"	"0.024"	"49143.0"	"61496.9"	"33750.6"	"28749.8"	"4771.0"	"3839.3"	"2149.0"	"1865.4"	"1459.3"	"1202.7"	"23"	"23"	"23"	"23"	"23"	"23"	"23"	"23"	"23"	"23"	"114.478"	"0"	"5395.45308144999"	"13"
"False"	"IsMasterProtein"	"PF3D7_0202000"	"organism=Plasmodium_falciparum_3D7 | product=knob-associated histidine-rich protein (KAHRP) | location=Pf3D7_02_v3:103385-105796(-) | length=654 | sequence_SO=chromosome | SO=protein_coding"	"23.7003058103976"	"17"	"212"	"17"	"1"	"654"	"71.259"	"9.09"	""	"1.156"	"1.024"	"1.237"	"0.907"	"0.902"	"0.892"	"0.938"	"0.803"	"0.867"	"22321.7"	"25805.0"	"22863.2"	"27616.5"	"20235.8"	"19914.8"	"20145.0"	"20948.9"	"17929.9"	"19362.6"	"38"	"38"	"38"	"38"	"38"	"38"	"38"	"38"	"38"	"38"	"31.903"	"0"	"5245.91262202443"	"17"
"False"	"IsMasterProtein"	"PF3D7_1423700"	"organism=Plasmodium_falciparum_3D7 | product=conserved Plasmodium protein, unknown function | location=Pf3D7_14_v3:959074-963750(-) | length=1558 | sequence_SO=chromosome | SO=protein_coding"	"35.7509627727856"	"51"	"362"	"51"	"1"	"1558"	"183.463"	"6.92"	""	"1.025"	"1.017"	"1.139"	"0.825"	"0.816"	"0.796"	"0.851"	"0.718"	"0.765"	"21028.9"	"21560.6"	"21391.8"	"23941.5"	"17342.3"	"16736.5"	"17151.4"	"17892.5"	"15092.2"	"16085.3"	"108"	"108"	"108"	"108"	"108"	"108"	"108"	"108"	"108"	"108"	"54.826"	"0"	"5160.32613536214"	"51"
"False"	"IsMasterProtein"	"PF3D7_1357000"	"organism=Plasmodium_falciparum_3D7 | product=elongation factor 1-alpha | location=Pf3D7_13_v3:2265817-2267148(-) | length=443 | sequence_SO=chromosome | SO=protein_coding"	"59.5936794582393"	"28"	"328"	"25"	"1"	"443"	"48.928"	"9.06"	""	"1.044"	"0.782"	"0.463"	"0.188"	"0.132"	"0.153"	"0.127"	"0.107"	"0.104"	"52468.7"	"54779.8"	"41015.1"	"24278.4"	"9847.4"	"8031.4"	"6905.1"	"6639.8"	"5636.1"	"5456.4"	"37"	"37"	"37"	"37"	"37"	"37"	"37"	"37"	"37"	"37"	"61.102"	"3"	"5051.16322154202"	"28"
"False"	"IsMasterProtein"	"PF3D7_1021900"	"organism=Plasmodium_falciparum_3D7 | product=conserved Plasmodium protein (10b antigen), unknown function | location=Pf3D7_10_v3:905473-912345(-) | length=2290 | sequence_SO=chromosome | SO=protein_coding"	"31.8340611353712"	"69"	"354"	"67"	"1"	"2290"	"267.222"	"9.26"	""	"1.012"	"0.986"	"1.107"	"0.793"	"0.801"	"0.780"	"0.853"	"0.720"	"0.779"	"20373.8"	"20622.7"	"20086.2"	"22543.7"	"16159.5"	"15889.3"	"16328.0"	"17385.9"	"14670.5"	"15874.0"	"127"	"127"	"127"	"127"	"127"	"127"	"127"	"127"	"127"	"127"	"9.701"	"1"	"4870.50464096868"	"69"
"False"	"IsMasterProtein"	"PF3D7_0703500"	"organism=Plasmodium_falciparum_3D7 | product=erythrocyte membrane-associated antigen | location=Pf3D7_07_v3:135606-142505(+) | length=2299 | sequence_SO=chromosome | SO=protein_coding"	"30.7959982601131"	"59"	"268"	"59"	"1"	"2299"	"264.751"	"8.6"	""	"0.938"	"0.812"	"0.761"	"0.527"	"0.496"	"0.509"	"0.517"	"0.457"	"0.467"	"25671.0"	"24076.3"	"20841.7"	"19546.6"	"13532.5"	"13076.5"	"12740.1"	"13275.1"	"11720.3"	"11998.9"	"109"	"109"	"109"	"109"	"109"	"109"	"109"	"109"	"109"	"109"	"8.471"	"0"	"4832.81503851194"	"59"
"False"	"IsMasterProtein"	"PF3D7_1324900"	"organism=Plasmodium_falciparum_3D7 | product=L-lactate dehydrogenase (LDH) | location=Pf3D7_13_v3:1041157-1042107(+) | length=316 | sequence_SO=chromosome | SO=protein_coding"	"43.9873417721519"	"11"	"195"	"11"	"1"	"316"	"34.086"	"7.55"	""	"1.109"	"0.918"	"0.636"	"0.185"	"0.090"	"0.140"	"0.081"	"0.071"	"0.062"	"35622.9"	"39520.7"	"32696.7"	"22652.5"	"6592.3"	"4992.5"	"3222.2"	"2877.2"	"2527.9"	"2196.0"	"18"	"18"	"18"	"18"	"18"	"18"	"18"	"18"	"18"	"18"	"86.333"	"0"	"4792.77222690187"	"11"
"False"	"IsMasterProtein"	"PF3D7_0917900"	"organism=Plasmodium_falciparum_3D7 | product=heat shock protein 70 (HSP70-2) | location=Pf3D7_09_v3:737985-740276(+) | length=652 | sequence_SO=chromosome | SO=protein_coding"	"50"	"31"	"286"	"30"	"1"	"652"	"72.343"	"5.31"	""	"0.998"	"0.641"	"0.283"	"0.149"	"0.122"	"0.122"	"0.128"	"0.106"	"0.085"	"33351.7"	"33276.8"	"21375.7"	"9426.6"	"4971.8"	"4067.6"	"4054.6"	"4264.3"	"3551.1"	"2836.5"	"55"	"55"	"55"	"55"	"55"	"55"	"55"	"55"	"55"	"55"	"61.355"	"1"	"4546.2501392589"	"31"
"False"	"IsMasterProtein"	"PF3D7_1023900"	"organism=Plasmodium_falciparum_3D7 | product=chromodomain-helicase-DNA-binding protein 1 homolog, putative (CHD1) | location=Pf3D7_10_v3:997475-1007461(-) | length=3328 | sequence_SO=chromosome | SO=protein_coding"	"24.7596153846154"	"73"	"222"	"73"	"1"	"3328"	"381.018"	"6.33"	""	"0.993"	"0.915"	"0.927"	"0.608"	"0.552"	"0.556"	"0.563"	"0.488"	"0.501"	"19945.1"	"19797.4"	"18258.9"	"18493.6"	"12132.0"	"11091.2"	"11000.2"	"11223.4"	"9739.6"	"9983.4"	"106"	"106"	"106"	"106"	"106"	"106"	"106"	"106"	"106"	"106"	"3.601"	"0"	"4459.08597217945"	"73"
"False"	"IsMasterProtein"	"PF3D7_0818200"	"organism=Plasmodium_falciparum_3D7 | product=14-3-3 protein (14-3-3I) | location=Pf3D7_08_v3:830006-831454(+) | length=262 | sequence_SO=chromosome | SO=protein_coding"	"59.1603053435115"	"16"	"208"	"14"	"1"	"262"	"30.174"	"4.92"	""	"1.054"	"0.935"	"0.490"	"0.201"	"0.110"	"0.149"	"0.099"	"0.075"	"0.064"	"30793.0"	"32457.0"	"28791.6"	"15077.2"	"6179.0"	"4583.3"	"3378.6"	"3042.4"	"2304.8"	"1956.5"	"31"	"31"	"31"	"31"	"31"	"31"	"31"	"31"	"31"	"31"	"99"	"4"	"4385.52135209802"	"16"
"False"	"IsMasterProtein"	"PF3D7_1012400"	"organism=Plasmodium_falciparum_3D7 | product=hypoxanthine-guanine phosphoribosyltransferase (HGPRT) | location=Pf3D7_10_v3:475327-476563(-) | length=231 | sequence_SO=chromosome | SO=protein_coding"	"66.6666666666667"	"13"	"192"	"13"	"1"	"231"	"26.346"	"7.71"	""	"0.984"	"0.951"	"0.908"	"0.490"	"0.147"	"0.251"	"0.115"	"0.083"	"0.074"	"20400.5"	"20074.9"	"19392.1"	"18523.1"	"9992.8"	"5130.3"	"3008.8"	"2348.3"	"1699.3"	"1519.7"	"20"	"20"	"20"	"20"	"20"	"20"	"20"	"20"	"20"	"20"	"62.096"	"0"	"4356.59282832503"	"13"
"False"	"IsMasterProtein"	"PF3D7_0706500"	"organism=Plasmodium_falciparum_3D7 | product=conserved Plasmodium protein, unknown function | location=Pf3D7_07_v3:309902-315022(-) | length=1706 | sequence_SO=chromosome | SO=protein_coding"	"34.4079718640094"	"48"	"278"	"48"	"1"	"1706"	"196.449"	"8.13"	""	"1.029"	"1.052"	"1.190"	"0.851"	"0.825"	"0.826"	"0.813"	"0.675"	"0.695"	"13981.1"	"14392.6"	"14704.6"	"16639.6"	"11903.1"	"11546.5"	"11530.3"	"11365.1"	"9432.7"	"9713.1"	"88"	"88"	"88"	"88"	"88"	"88"	"88"	"88"	"88"	"88"	"32.598"	"0"	"4189.29693609276"	"48"
"False"	"IsMasterProtein"	"PF3D7_0817300"	"organism=Plasmodium_falciparum_3D7 | product=asparagine-rich antigen | location=Pf3D7_08_v3:782909-789616(-) | length=2235 | sequence_SO=chromosome | SO=protein_coding"	"20.8501118568233"	"38"	"169"	"38"	"1"	"2235"	"254.593"	"5.19"	"Acetyl [N-Term]"	"1.018"	"1.030"	"1.230"	"0.864"	"0.853"	"0.839"	"0.903"	"0.752"	"0.805"	"11087.4"	"11285.6"	"11418.8"	"13637.4"	"9583.3"	"9302.3"	"9455.2"	"10015.2"	"8341.1"	"8923.9"	"67"	"67"	"67"	"67"	"67"	"67"	"67"	"67"	"67"	"67"	"8.173"	"0"	"4167.48634685765"	"38"
"False"	"IsMasterProtein"	"PF3D7_1473200"	"organism=Plasmodium_falciparum_3D7 | product=DnaJ protein, putative | location=Pf3D7_14_v3:2981600-2982964(+) | length=454 | sequence_SO=chromosome | SO=protein_coding"	"41.4096916299559"	"15"	"115"	"15"	"1"	"454"	"52.422"	"5.25"	""	"1.064"	"1.019"	"1.176"	"0.718"	"0.682"	"0.689"	"0.705"	"0.611"	"0.635"	"6943.5"	"7386.6"	"7076.5"	"8164.2"	"4984.7"	"4787.1"	"4732.2"	"4898.1"	"4244.7"	"4410.8"	"31"	"31"	"31"	"31"	"31"	"31"	"31"	"31"	"31"	"31"	"24.929"	"0"	"4130.31641615872"	"15"
