"Checked"	"Master"	"Accession"	"Description"	"Coverage"	"# Peptides"	"# PSMs"	"# Unique Peptides"	"# Protein Groups"	"# AAs"	"MW [kDa]"	"calc. pI"	"Modifications"	"Abundance Ratio: (127N, Pyr) / (126, Pyr)"	"Abundance Ratio: (128N, Pyr) / (126, Pyr)"	"Abundance Ratio: (127C, Pyr) / (126, Pyr)"	"Abundance Ratio: (128C, Pyr) / (126, Pyr)"	"Abundance Ratio: (129N, Pyr) / (126, Pyr)"	"Abundance Ratio: (129C, Pyr) / (126, Pyr)"	"Abundance Ratio: (130N, Pyr) / (126, Pyr)"	"Abundance Ratio: (130C, Pyr) / (126, Pyr)"	"Abundance Ratio: (131, Pyr) / (126, Pyr)"	"Abundance: F4: 126, Sample, Pyr"	"Abundance: F4: 127N, Sample, Pyr"	"Abundance: F4: 127C, Sample, Pyr"	"Abundance: F4: 128N, Sample, Pyr"	"Abundance: F4: 128C, Sample, Pyr"	"Abundance: F4: 129N, Sample, Pyr"	"Abundance: F4: 129C, Sample, Pyr"	"Abundance: F4: 130N, Sample, Pyr"	"Abundance: F4: 130C, Sample, Pyr"	"Abundance: F4: 131, Sample, Pyr"	"Abundances Count: F4: 126, Sample, Pyr"	"Abundances Count: F4: 127N, Sample, Pyr"	"Abundances Count: F4: 127C, Sample, Pyr"	"Abundances Count: F4: 128N, Sample, Pyr"	"Abundances Count: F4: 128C, Sample, Pyr"	"Abundances Count: F4: 129N, Sample, Pyr"	"Abundances Count: F4: 129C, Sample, Pyr"	"Abundances Count: F4: 130N, Sample, Pyr"	"Abundances Count: F4: 130C, Sample, Pyr"	"Abundances Count: F4: 131, Sample, Pyr"	"emPAI"	"# Razor Peptides"	"Score Mascot"	"# Peptides Mascot"
"False"	"IsMasterProtein"	"PF3D7_0608800"	"organism=Plasmodium_falciparum_3D7 | product=ornithine aminotransferase (OAT) | location=Pf3D7_06_v3:362635-363879(+) | length=414 | sequence_SO=chromosome | SO=protein_coding"	"57.487922705314"	"22"	"312"	"22"	"1"	"414"	"46.025"	"6.89"	""	"1.092"	"0.748"	"0.967"	"0.213"	"0.137"	"0.087"	"0.070"	"0.059"	"0.051"	"34869.6"	"38091.4"	"33725.1"	"26083.9"	"7435.6"	"4787.4"	"3036.7"	"2450.0"	"2048.7"	"1774.2"	"39"	"39"	"39"	"39"	"39"	"39"	"39"	"39"	"39"	"39"	"55.234"	"0"	"7393.53782531061"	"22"
"False"	"IsMasterProtein"	"PF3D7_1462800"	"organism=Plasmodium_falciparum_3D7 | product=glyceraldehyde-3-phosphate dehydrogenase (GAPDH) | location=Pf3D7_14_v3:2559098-2560347(+) | length=337 | sequence_SO=chromosome | SO=protein_coding"	"78.9317507418398"	"21"	"389"	"20"	"1"	"337"	"36.612"	"7.69"	""	"0.906"	"0.784"	"0.762"	"0.168"	"0.124"	"0.072"	"0.061"	"0.049"	"0.042"	"37457.5"	"33943.0"	"28554.7"	"29355.1"	"6290.1"	"4628.1"	"2712.6"	"2293.8"	"1831.9"	"1561.7"	"35"	"35"	"35"	"35"	"35"	"35"	"35"	"35"	"35"	"35"	"150.991"	"2"	"6544.26043754348"	"21"
"False"	"IsMasterProtein"	"PF3D7_1224300"	"organism=Plasmodium_falciparum_3D7 | product=polyadenylate-binding protein, putative (PABP) | location=Pf3D7_12_v3:988628-991255(+) | length=875 | sequence_SO=chromosome | SO=protein_coding"	"39.2"	"31"	"292"	"31"	"1"	"875"	"97.169"	"8.88"	""	"0.980"	"0.621"	"0.762"	"0.431"	"0.408"	"0.392"	"0.415"	"0.368"	"0.376"	"26243.4"	"25720.7"	"20007.7"	"16304.0"	"11305.9"	"10716.0"	"10295.1"	"10878.4"	"9644.9"	"9864.1"	"65"	"65"	"65"	"65"	"65"	"65"	"65"	"65"	"65"	"65"	"132.352"	"0"	"6421.14507334744"	"31"
"False"	"IsMasterProtein"	"PF3D7_1011800"	"organism=Plasmodium_falciparum_3D7 | product=PRE-binding protein (PREBP) | location=Pf3D7_10_v3:455398-458817(+) | length=1139 | sequence_SO=chromosome | SO=protein_coding"	"42.3178226514486"	"56"	"435"	"54"	"1"	"1139"	"131.545"	"9.16"	""	"1.063"	"1.145"	"1.002"	"0.821"	"0.801"	"0.820"	"0.851"	"0.736"	"0.777"	"32333.0"	"34385.4"	"32404.4"	"37012.8"	"26545.2"	"25892.2"	"26502.9"	"27509.5"	"23806.9"	"25124.5"	"89"	"89"	"89"	"89"	"89"	"89"	"89"	"89"	"89"	"89"	"37.522"	"2"	"6253.47752408414"	"56"
"False"	"IsMasterProtein"	"PF3D7_1451100"	"organism=Plasmodium_falciparum_3D7 | product=elongation factor 2 (eEF2) | location=Pf3D7_14_v3:2090902-2093400(+) | length=832 | sequence_SO=chromosome | SO=protein_coding"	"41.7067307692308"	"32"	"302"	"30"	"1"	"832"	"93.462"	"6.8"	""	"1.064"	"1.179"	"1.064"	"0.609"	"0.244"	"0.153"	"0.122"	"0.100"	"0.088"	"27906.6"	"29684.7"	"29682.3"	"32910.6"	"16991.1"	"6802.9"	"4273.0"	"3408.5"	"2797.3"	"2443.6"	"56"	"56"	"56"	"56"	"56"	"56"	"56"	"56"	"56"	"56"	"24.119"	"1"	"5767.94225738924"	"32"
"False"	"IsMasterProtein"	"PF3D7_0604500"	"organism=Plasmodium_falciparum_3D7 | product=conserved Plasmodium protein, unknown function | location=Pf3D7_06_v3:189012-198078(+) | length=2874 | sequence_SO=chromosome | SO=protein_coding"	"32.6026443980515"	"84"	"390"	"84"	"1"	"2874"	"334.204"	"8.4"	""	"1.050"	"1.193"	"1.031"	"0.857"	"0.853"	"0.848"	"0.900"	"0.759"	"0.801"	"22158.0"	"23275.5"	"22839.0"	"26440.6"	"18991.1"	"18900.3"	"18796.8"	"19945.2"	"16823.0"	"17740.5"	"138"	"138"	"138"	"138"	"138"	"138"	"138"	"138"	"138"	"138"	"12.386"	"0"	"5317.08188418397"	"84"
"False"	"IsMasterProtein"	"PF3D7_0202000"	"organism=Plasmodium_falciparum_3D7 | product=knob-associated histidine-rich protein (KAHRP) | location=Pf3D7_02_v3:103385-105796(-) | length=654 | sequence_SO=chromosome | SO=protein_coding"	"24.7706422018349"	"18"	"209"	"18"	"1"	"654"	"71.259"	"9.09"	""	"1.128"	"1.242"	"1.034"	"0.912"	"0.897"	"0.907"	"0.952"	"0.815"	"0.885"	"21147.5"	"23859.4"	"21873.7"	"26256.8"	"19296.5"	"18977.9"	"19181.6"	"20128.6"	"17226.1"	"18713.1"	"38"	"38"	"38"	"38"	"38"	"38"	"38"	"38"	"38"	"38"	"37.566"	"0"	"5271.04582494817"	"18"
"False"	"IsMasterProtein"	"PF3D7_0922500"	"organism=Plasmodium_falciparum_3D7 | product=phosphoglycerate kinase (PGK) | location=Pf3D7_09_v3:913230-914480(+) | length=416 | sequence_SO=chromosome | SO=protein_coding"	"69.9519230769231"	"24"	"254"	"24"	"1"	"416"	"45.398"	"7.83"	""	"1.075"	"0.271"	"0.841"	"0.115"	"0.075"	"0.060"	"0.055"	"0.044"	"0.041"	"52168.9"	"56101.7"	"43859.7"	"14123.5"	"6002.0"	"3887.1"	"3140.8"	"2891.7"	"2317.5"	"2151.0"	"40"	"40"	"40"	"40"	"40"	"40"	"40"	"40"	"40"	"40"	"41.987"	"0"	"5171.43228090895"	"24"
"False"	"IsMasterProtein"	"PF3D7_1029600"	"organism=Plasmodium_falciparum_3D7 | product=adenosine deaminase (ADA) | location=Pf3D7_10_v3:1206302-1207405(+) | length=367 | sequence_SO=chromosome | SO=protein_coding"	"54.2234332425068"	"19"	"388"	"19"	"1"	"367"	"42.438"	"5.69"	""	"1.209"	"1.053"	"1.023"	"0.824"	"0.763"	"0.729"	"0.699"	"0.472"	"0.254"	"21161.0"	"25578.2"	"21639.7"	"22277.8"	"17432.8"	"16146.4"	"15431.4"	"14799.6"	"9997.5"	"5384.4"	"33"	"33"	"33"	"33"	"33"	"33"	"33"	"33"	"33"	"33"	"67.129"	"0"	"5027.3326010999"	"19"
"False"	"IsMasterProtein"	"PF3D7_0708800"	"organism=Plasmodium_falciparum_3D7 | product=heat shock protein 110 (HSP110c) | location=Pf3D7_07_v3:395711-398332(+) | length=873 | sequence_SO=chromosome | SO=protein_coding"	"47.8808705612829"	"37"	"276"	"37"	"1"	"873"	"99.902"	"5.69"	""	"1.057"	"1.060"	"1.054"	"0.210"	"0.166"	"0.107"	"0.100"	"0.088"	"0.076"	"29180.1"	"30850.5"	"30749.3"	"30916.4"	"6134.4"	"4837.2"	"3122.0"	"2926.4"	"2567.7"	"2206.5"	"62"	"62"	"62"	"62"	"62"	"62"	"62"	"62"	"62"	"62"	"34.401"	"0"	"4974.25712634058"	"37"
"False"	"IsMasterProtein"	"PF3D7_1423700"	"organism=Plasmodium_falciparum_3D7 | product=conserved Plasmodium protein, unknown function | location=Pf3D7_14_v3:959074-963750(-) | length=1558 | sequence_SO=chromosome | SO=protein_coding"	"38.1899871630295"	"52"	"353"	"52"	"1"	"1558"	"183.463"	"6.92"	""	"1.026"	"1.121"	"1.022"	"0.816"	"0.786"	"0.808"	"0.838"	"0.712"	"0.754"	"17845.3"	"18301.5"	"18231.2"	"20010.3"	"14563.1"	"14032.6"	"14410.1"	"14958.8"	"12703.3"	"13452.1"	"103"	"103"	"103"	"103"	"103"	"103"	"103"	"103"	"103"	"103"	"50.152"	"0"	"4957.07388349994"	"52"
"False"	"IsMasterProtein"	"PF3D7_0500800"	"organism=Plasmodium_falciparum_3D7 | product=mature parasite-infected erythrocyte surface antigen (MESA) | location=Pf3D7_05_v3:43327-47761(-) | length=1434 | sequence_SO=chromosome | SO=protein_coding"	"30.1255230125523"	"36"	"203"	"36"	"1"	"1434"	"168.186"	"4.78"	""	"1.033"	"1.035"	"0.969"	"0.740"	"0.701"	"0.732"	"0.736"	"0.623"	"0.689"	"17517.7"	"18087.7"	"16979.0"	"18138.3"	"12969.0"	"12286.4"	"12823.0"	"12884.7"	"10913.9"	"12076.7"	"55"	"55"	"55"	"55"	"55"	"55"	"55"	"55"	"55"	"55"	"4.766"	"0"	"4873.99253120419"	"36"
"False"	"IsMasterProtein"	"PF3D7_1357000"	"organism=Plasmodium_falciparum_3D7 | product=elongation factor 1-alpha | location=Pf3D7_13_v3:2265817-2267148(-) | length=443 | sequence_SO=chromosome | SO=protein_coding"	"59.5936794582393"	"27"	"292"	"24"	"1"	"443"	"48.928"	"9.06"	""	"1.051"	"0.458"	"0.788"	"0.189"	"0.151"	"0.126"	"0.120"	"0.098"	"0.092"	"41963.3"	"44084.1"	"33046.8"	"19202.7"	"7924.9"	"6345.4"	"5285.4"	"5032.3"	"4109.3"	"3852.0"	"36"	"36"	"36"	"36"	"36"	"36"	"36"	"36"	"36"	"36"	"51.983"	"3"	"4695.23921052196"	"27"
"False"	"IsMasterProtein"	"PF3D7_1021900"	"organism=Plasmodium_falciparum_3D7 | product=conserved Plasmodium protein (10b antigen), unknown function | location=Pf3D7_10_v3:905473-912345(-) | length=2290 | sequence_SO=chromosome | SO=protein_coding"	"30.4366812227074"	"66"	"352"	"65"	"1"	"2290"	"267.222"	"9.26"	""	"1.009"	"1.115"	"1.000"	"0.795"	"0.785"	"0.796"	"0.840"	"0.710"	"0.772"	"19646.2"	"19823.2"	"19650.5"	"21912.6"	"15611.3"	"15427.2"	"15632.0"	"16507.6"	"13944.2"	"15162.4"	"122"	"122"	"122"	"122"	"122"	"122"	"122"	"122"	"122"	"122"	"9.521"	"0"	"4668.93253574485"	"66"
"False"	"IsMasterProtein"	"PF3D7_0703500"	"organism=Plasmodium_falciparum_3D7 | product=erythrocyte membrane-associated antigen | location=Pf3D7_07_v3:135606-142505(+) | length=2299 | sequence_SO=chromosome | SO=protein_coding"	"30.1870378425402"	"59"	"289"	"59"	"1"	"2299"	"264.751"	"8.6"	""	"0.948"	"0.807"	"0.852"	"0.556"	"0.535"	"0.538"	"0.555"	"0.477"	"0.506"	"20322.9"	"19256.8"	"17313.5"	"16400.4"	"11299.7"	"10882.2"	"10938.6"	"11274.2"	"9701.5"	"10282.7"	"101"	"101"	"101"	"101"	"101"	"101"	"101"	"101"	"101"	"101"	"8.133"	"0"	"4576.13033110436"	"59"
"False"	"IsMasterProtein"	"PF3D7_1324900"	"organism=Plasmodium_falciparum_3D7 | product=L-lactate dehydrogenase (LDH) | location=Pf3D7_13_v3:1041157-1042107(+) | length=316 | sequence_SO=chromosome | SO=protein_coding"	"43.9873417721519"	"12"	"175"	"12"	"1"	"316"	"34.086"	"7.55"	""	"1.134"	"0.645"	"0.933"	"0.196"	"0.148"	"0.102"	"0.092"	"0.079"	"0.074"	"32785.6"	"37179.9"	"30581.7"	"21153.3"	"6441.0"	"4853.0"	"3350.5"	"3012.0"	"2574.8"	"2422.1"	"21"	"21"	"21"	"21"	"21"	"21"	"21"	"21"	"21"	"21"	"65.608"	"0"	"4337.84651550668"	"12"
"False"	"IsMasterProtein"	"PF3D7_1343000"	"organism=Plasmodium_falciparum_3D7 | product=phosphoethanolamine N-methyltransferase (PMT) | location=Pf3D7_13_v3:1696894-1698113(+) | length=266 | sequence_SO=chromosome | SO=protein_coding"	"61.2781954887218"	"12"	"200"	"12"	"1"	"266"	"31.024"	"5.6"	""	"1.235"	"0.589"	"0.682"	"0.093"	"0.074"	"0.039"	"0.034"	"0.026"	"0.020"	"48987.4"	"60491.1"	"33418.0"	"28837.8"	"4561.8"	"3644.6"	"1930.9"	"1644.5"	"1253.9"	"1001.5"	"22"	"22"	"22"	"22"	"22"	"22"	"22"	"22"	"22"	"22"	"85.596"	"0"	"4130.61475054496"	"12"
"False"	"IsMasterProtein"	"PF3D7_1023900"	"organism=Plasmodium_falciparum_3D7 | product=chromodomain-helicase-DNA-binding protein 1 homolog, putative (CHD1) | location=Pf3D7_10_v3:997475-1007461(-) | length=3328 | sequence_SO=chromosome | SO=protein_coding"	"22.9266826923077"	"67"	"201"	"67"	"1"	"3328"	"381.018"	"6.33"	""	"0.980"	"0.986"	"0.940"	"0.650"	"0.595"	"0.614"	"0.621"	"0.534"	"0.556"	"18123.2"	"17757.4"	"17028.3"	"17866.3"	"11779.4"	"10786.9"	"11126.9"	"11245.6"	"9673.0"	"10070.3"	"93"	"93"	"93"	"93"	"93"	"93"	"93"	"93"	"93"	"93"	"3.034"	"0"	"4058.43774626751"	"67"
"False"	"IsMasterProtein"	"PF3D7_0917900"	"organism=Plasmodium_falciparum_3D7 | product=heat shock protein 70 (HSP70-2) | location=Pf3D7_09_v3:737985-740276(+) | length=652 | sequence_SO=chromosome | SO=protein_coding"	"45.398773006135"	"30"	"267"	"29"	"1"	"652"	"72.343"	"5.31"	""	"0.969"	"0.278"	"0.556"	"0.142"	"0.118"	"0.112"	"0.118"	"0.095"	"0.075"	"29684.8"	"28758.3"	"16518.8"	"8255.7"	"4208.8"	"3493.7"	"3329.5"	"3507.3"	"2810.8"	"2217.1"	"47"	"47"	"47"	"47"	"47"	"47"	"47"	"47"	"47"	"47"	"40.246"	"1"	"3971.47702308628"	"30"
"False"	"IsMasterProtein"	"PF3D7_0706500"	"organism=Plasmodium_falciparum_3D7 | product=conserved Plasmodium protein, unknown function | location=Pf3D7_07_v3:309902-315022(-) | length=1706 | sequence_SO=chromosome | SO=protein_coding"	"33.411488862837"	"47"	"291"	"47"	"1"	"1706"	"196.449"	"8.13"	""	"1.029"	"1.189"	"1.046"	"0.857"	"0.820"	"0.812"	"0.802"	"0.672"	"0.682"	"13676.6"	"14079.3"	"14306.9"	"16255.1"	"11723.3"	"11211.0"	"11105.3"	"10964.0"	"9185.9"	"9325.9"	"83"	"83"	"83"	"83"	"83"	"83"	"83"	"83"	"83"	"83"	"35.795"	"0"	"3956.73614488327"	"47"
"False"	"IsMasterProtein"	"PF3D7_0818200"	"organism=Plasmodium_falciparum_3D7 | product=14-3-3 protein (14-3-3I) | location=Pf3D7_08_v3:830006-831454(+) | length=262 | sequence_SO=chromosome | SO=protein_coding"	"62.2137404580153"	"19"	"192"	"16"	"1"	"262"	"30.174"	"4.92"	""	"1.171"	"0.459"	"0.659"	"0.173"	"0.123"	"0.088"	"0.075"	"0.057"	"0.045"	"32643.5"	"38232.2"	"21515.5"	"14994.6"	"5663.0"	"4025.8"	"2887.0"	"2458.9"	"1872.0"	"1458.1"	"33"	"33"	"33"	"33"	"33"	"33"	"33"	"33"	"33"	"33"	"124.893"	"5"	"3945.53922125673"	"19"
"False"	"IsMasterProtein"	"PF3D7_1138500"	"organism=Plasmodium_falciparum_3D7 | product=protein phosphatase 2C (PPM2) | location=Pf3D7_11_v3:1518464-1521238(+) | length=924 | sequence_SO=chromosome | SO=protein_coding"	"49.4588744588745"	"40"	"196"	"40"	"1"	"924"	"105.339"	"4.51"	""	"1.014"	"1.030"	"1.035"	"0.528"	"0.511"	"0.503"	"0.525"	"0.438"	"0.413"	"15273.6"	"15493.4"	"15814.6"	"15738.7"	"8064.1"	"7797.8"	"7687.2"	"8025.1"	"6685.3"	"6309.5"	"69"	"69"	"69"	"69"	"69"	"69"	"69"	"69"	"69"	"69"	"75.51"	"0"	"3916.59398963284"	"40"
"False"	"IsMasterProtein"	"PF3D7_0524000"	"organism=Plasmodium_falciparum_3D7 | product=karyopherin beta (KASbeta) | location=Pf3D7_05_v3:998753-1002124(+) | length=1123 | sequence_SO=chromosome | SO=protein_coding"	"40.7836153161175"	"44"	"198"	"44"	"1"	"1123"	"127.272"	"4.92"	""	"1.050"	"1.136"	"1.035"	"0.810"	"0.567"	"0.190"	"0.135"	"0.092"	"0.088"	"19928.2"	"20916.3"	"20621.6"	"22643.5"	"16147.7"	"11292.1"	"3777.3"	"2688.1"	"1843.1"	"1747.5"	"60"	"60"	"60"	"60"	"60"	"60"	"60"	"60"	"60"	"60"	"9.33"	"0"	"3844.06743946514"	"44"
"False"	"IsMasterProtein"	"PF3D7_1012400"	"organism=Plasmodium_falciparum_3D7 | product=hypoxanthine-guanine phosphoribosyltransferase (HGPRT) | location=Pf3D7_10_v3:475327-476563(-) | length=231 | sequence_SO=chromosome | SO=protein_coding"	"66.6666666666667"	"13"	"190"	"13"	"1"	"231"	"26.346"	"7.71"	""	"0.972"	"0.907"	"0.953"	"0.487"	"0.244"	"0.145"	"0.111"	"0.081"	"0.072"	"15452.8"	"15024.5"	"14728.6"	"14022.7"	"7525.6"	"3776.9"	"2247.4"	"1719.2"	"1258.1"	"1115.1"	"19"	"19"	"19"	"19"	"19"	"19"	"19"	"19"	"19"	"19"	"53.117"	"0"	"3835.13292375327"	"13"
