"Checked"	"Master"	"Accession"	"Description"	"Coverage"	"# Peptides"	"# PSMs"	"# Unique Peptides"	"# Protein Groups"	"# AAs"	"MW [kDa]"	"calc. pI"	"Modifications"	"Abundance Ratio: (127N, DMSO) / (126, DMSO)"	"Abundance Ratio: (127C, DMSO) / (126, DMSO)"	"Abundance Ratio: (128N, DMSO) / (126, DMSO)"	"Abundance Ratio: (128C, DMSO) / (126, DMSO)"	"Abundance Ratio: (129N, DMSO) / (126, DMSO)"	"Abundance Ratio: (129C, DMSO) / (126, DMSO)"	"Abundance Ratio: (130N, DMSO) / (126, DMSO)"	"Abundance Ratio: (130C, DMSO) / (126, DMSO)"	"Abundance Ratio: (131, DMSO) / (126, DMSO)"	"Abundance: F2: 126, Sample, DMSO"	"Abundance: F2: 127N, Sample, DMSO"	"Abundance: F2: 127C, Sample, DMSO"	"Abundance: F2: 128N, Sample, DMSO"	"Abundance: F2: 128C, Sample, DMSO"	"Abundance: F2: 129N, Sample, DMSO"	"Abundance: F2: 129C, Sample, DMSO"	"Abundance: F2: 130N, Sample, DMSO"	"Abundance: F2: 130C, Sample, DMSO"	"Abundance: F2: 131, Sample, DMSO"	"Abundances Count: F2: 126, Sample, DMSO"	"Abundances Count: F2: 127N, Sample, DMSO"	"Abundances Count: F2: 127C, Sample, DMSO"	"Abundances Count: F2: 128N, Sample, DMSO"	"Abundances Count: F2: 128C, Sample, DMSO"	"Abundances Count: F2: 129N, Sample, DMSO"	"Abundances Count: F2: 129C, Sample, DMSO"	"Abundances Count: F2: 130N, Sample, DMSO"	"Abundances Count: F2: 130C, Sample, DMSO"	"Abundances Count: F2: 131, Sample, DMSO"	"emPAI"	"# Razor Peptides"	"Score Mascot"	"# Peptides Mascot"
"False"	"IsMasterProtein"	"PF3D7_1149000"	"organism=Plasmodium_falciparum_3D7 | product=antigen 332, DBL-like protein (Pf332) | location=Pf3D7_11_v3:1950210-1968726(+) | length=6093 | sequence_SO=chromosome | SO=protein_coding"	"30.4611849663548"	"148"	"310"	"148"	"1"	"6093"	"688.87"	"3.89"	""	"0.924"	"0.937"	"0.803"	"0.332"	"0.293"	"0.266"	"0.265"	"0.223"	"0.214"	"55784.0"	"51565.3"	"52287.8"	"44773.8"	"18530.9"	"16324.3"	"14837.5"	"14789.2"	"12466.6"	"11936.2"	"170"	"170"	"170"	"170"	"170"	"170"	"170"	"170"	"170"	"170"	"4.23"	"0"	"8243.98536432274"	"148"
"False"	"IsMasterProtein"	"PF3D7_1462800"	"organism=Plasmodium_falciparum_3D7 | product=glyceraldehyde-3-phosphate dehydrogenase (GAPDH) | location=Pf3D7_14_v3:2559098-2560347(+) | length=337 | sequence_SO=chromosome | SO=protein_coding"	"67.0623145400593"	"19"	"417"	"18"	"1"	"337"	"36.612"	"7.69"	""	"0.906"	"1.043"	"0.755"	"0.206"	"0.141"	"0.086"	"0.068"	"0.056"	"0.046"	"49864.6"	"45178.2"	"52019.3"	"37632.5"	"10265.0"	"7046.5"	"4276.7"	"3399.6"	"2779.6"	"2283.7"	"35"	"35"	"35"	"35"	"35"	"35"	"35"	"35"	"35"	"35"	"186.382"	"2"	"7756.25786242152"	"19"
"False"	"IsMasterProtein"	"PF3D7_1224300"	"organism=Plasmodium_falciparum_3D7 | product=polyadenylate-binding protein, putative (PABP) | location=Pf3D7_12_v3:988628-991255(+) | length=875 | sequence_SO=chromosome | SO=protein_coding"	"41.3714285714286"	"36"	"363"	"36"	"1"	"875"	"97.169"	"8.88"	""	"0.899"	"0.751"	"0.526"	"0.386"	"0.348"	"0.339"	"0.336"	"0.299"	"0.302"	"41165.5"	"37001.9"	"30926.4"	"21659.9"	"15903.4"	"14318.1"	"13969.9"	"13825.9"	"12295.9"	"12430.3"	"79"	"79"	"79"	"79"	"79"	"79"	"79"	"79"	"79"	"79"	"445.684"	"0"	"7447.16920169452"	"36"
"False"	"IsMasterProtein"	"PF3D7_1011800"	"organism=Plasmodium_falciparum_3D7 | product=PRE-binding protein (PREBP) | location=Pf3D7_10_v3:455398-458817(+) | length=1139 | sequence_SO=chromosome | SO=protein_coding"	"42.6690079016681"	"54"	"440"	"51"	"1"	"1139"	"131.545"	"9.16"	""	"0.954"	"0.928"	"0.874"	"0.722"	"0.686"	"0.704"	"0.716"	"0.634"	"0.664"	"53091.7"	"50658.3"	"49263.2"	"46411.3"	"38330.8"	"36408.4"	"37380.0"	"38037.8"	"33638.8"	"35260.5"	"93"	"93"	"93"	"93"	"93"	"93"	"93"	"93"	"93"	"93"	"40.142"	"5"	"6958.23617906433"	"54"
"False"	"IsMasterProtein"	"PF3D7_1451100"	"organism=Plasmodium_falciparum_3D7 | product=elongation factor 2 (eEF2) | location=Pf3D7_14_v3:2090902-2093400(+) | length=832 | sequence_SO=chromosome | SO=protein_coding"	"43.8701923076923"	"33"	"328"	"31"	"1"	"832"	"93.462"	"6.8"	""	"0.955"	"0.979"	"0.972"	"0.562"	"0.222"	"0.145"	"0.114"	"0.098"	"0.087"	"45660.2"	"43617.3"	"44711.1"	"44394.4"	"25657.0"	"10123.9"	"6633.0"	"5214.3"	"4490.5"	"3977.8"	"63"	"63"	"63"	"63"	"63"	"63"	"63"	"63"	"63"	"63"	"35.308"	"2"	"6837.48901945047"	"33"
"False"	"IsMasterProtein"	"PF3D7_0922500"	"organism=Plasmodium_falciparum_3D7 | product=phosphoglycerate kinase (PGK) | location=Pf3D7_09_v3:913230-914480(+) | length=416 | sequence_SO=chromosome | SO=protein_coding"	"68.5096153846154"	"26"	"296"	"26"	"1"	"416"	"45.398"	"7.83"	""	"0.957"	"0.813"	"0.289"	"0.122"	"0.079"	"0.063"	"0.057"	"0.048"	"0.044"	"72226.7"	"69148.4"	"58751.0"	"20882.0"	"8823.7"	"5703.4"	"4558.5"	"4152.2"	"3481.8"	"3196.4"	"41"	"41"	"41"	"41"	"41"	"41"	"41"	"41"	"41"	"41"	"62.096"	"0"	"6204.73535782475"	"26"
"False"	"IsMasterProtein"	"PF3D7_0604500"	"organism=Plasmodium_falciparum_3D7 | product=conserved Plasmodium protein, unknown function | location=Pf3D7_06_v3:189012-198078(+) | length=2874 | sequence_SO=chromosome | SO=protein_coding"	"37.3695198329854"	"91"	"393"	"91"	"1"	"2874"	"334.204"	"8.4"	""	"0.952"	"0.970"	"0.947"	"0.778"	"0.728"	"0.741"	"0.769"	"0.666"	"0.710"	"36527.7"	"34762.9"	"35422.8"	"34583.3"	"28435.4"	"26602.1"	"27067.3"	"28104.1"	"24341.5"	"25935.1"	"168"	"168"	"168"	"168"	"168"	"168"	"168"	"168"	"168"	"168"	"15.343"	"0"	"6126.08122464436"	"91"
"False"	"IsMasterProtein"	"PF3D7_1029600"	"organism=Plasmodium_falciparum_3D7 | product=adenosine deaminase (ADA) | location=Pf3D7_10_v3:1206302-1207405(+) | length=367 | sequence_SO=chromosome | SO=protein_coding"	"54.2234332425068"	"19"	"413"	"19"	"1"	"367"	"42.438"	"5.69"	""	"1.128"	"0.986"	"0.952"	"0.755"	"0.697"	"0.653"	"0.621"	"0.430"	"0.319"	"37492.2"	"42293.1"	"36962.1"	"35687.9"	"28313.0"	"26114.3"	"24500.9"	"23293.7"	"16130.6"	"11952.5"	"33"	"33"	"33"	"33"	"33"	"33"	"33"	"33"	"33"	"33"	"60.897"	"0"	"5877.28385181154"	"19"
"False"	"IsMasterProtein"	"PF3D7_0708800"	"organism=Plasmodium_falciparum_3D7 | product=heat shock protein 110 (HSP110c) | location=Pf3D7_07_v3:395711-398332(+) | length=873 | sequence_SO=chromosome | SO=protein_coding"	"50.057273768614"	"39"	"288"	"39"	"1"	"873"	"99.902"	"5.69"	""	"0.943"	"0.946"	"0.847"	"0.220"	"0.156"	"0.107"	"0.096"	"0.088"	"0.075"	"43369.1"	"40875.8"	"41032.1"	"36713.8"	"9542.7"	"6780.7"	"4659.3"	"4153.2"	"3796.4"	"3237.8"	"67"	"67"	"67"	"67"	"67"	"67"	"67"	"67"	"67"	"67"	"43.367"	"0"	"5689.62863348832"	"39"
"False"	"IsMasterProtein"	"PF3D7_1423700"	"organism=Plasmodium_falciparum_3D7 | product=conserved Plasmodium protein, unknown function | location=Pf3D7_14_v3:959074-963750(-) | length=1558 | sequence_SO=chromosome | SO=protein_coding"	"37.8690629011553"	"51"	"385"	"51"	"1"	"1558"	"183.463"	"6.92"	""	"0.935"	"0.951"	"0.901"	"0.745"	"0.683"	"0.708"	"0.714"	"0.619"	"0.651"	"27085.9"	"25326.1"	"25753.6"	"24409.3"	"20167.1"	"18508.0"	"19185.1"	"19345.0"	"16765.5"	"17642.6"	"112"	"112"	"112"	"112"	"112"	"112"	"112"	"112"	"112"	"112"	"58.177"	"0"	"5512.75439253945"	"51"
"False"	"IsMasterProtein"	"PF3D7_0500800"	"organism=Plasmodium_falciparum_3D7 | product=mature parasite-infected erythrocyte surface antigen (MESA) | location=Pf3D7_05_v3:43327-47761(-) | length=1434 | sequence_SO=chromosome | SO=protein_coding"	"31.3807531380753"	"37"	"236"	"37"	"1"	"1434"	"168.186"	"4.78"	""	"0.974"	"0.923"	"0.887"	"0.683"	"0.625"	"0.636"	"0.632"	"0.540"	"0.600"	"28335.2"	"27597.4"	"26150.7"	"25141.6"	"19344.8"	"17700.0"	"18032.4"	"17903.0"	"15297.3"	"16988.3"	"57"	"57"	"57"	"57"	"57"	"57"	"57"	"57"	"57"	"57"	"5.216"	"0"	"5492.49654142035"	"37"
"False"	"IsMasterProtein"	"PF3D7_0202000"	"organism=Plasmodium_falciparum_3D7 | product=knob-associated histidine-rich protein (KAHRP) | location=Pf3D7_02_v3:103385-105796(-) | length=654 | sequence_SO=chromosome | SO=protein_coding"	"24.7706422018349"	"17"	"220"	"17"	"1"	"654"	"71.259"	"9.09"	""	"1.087"	"0.964"	"0.977"	"0.811"	"0.771"	"0.782"	"0.800"	"0.699"	"0.763"	"30422.3"	"33064.4"	"29324.9"	"29734.8"	"24670.5"	"23447.2"	"23787.1"	"24342.1"	"21251.2"	"23210.7"	"38"	"38"	"38"	"38"	"38"	"38"	"38"	"38"	"38"	"38"	"34.622"	"0"	"5429.05940096375"	"17"
"False"	"IsMasterProtein"	"PF3D7_1343000"	"organism=Plasmodium_falciparum_3D7 | product=phosphoethanolamine N-methyltransferase (PMT) | location=Pf3D7_13_v3:1696894-1698113(+) | length=266 | sequence_SO=chromosome | SO=protein_coding"	"66.9172932330827"	"13"	"218"	"13"	"1"	"266"	"31.024"	"5.6"	"Acetyl [N-Term]"	"0.946"	"0.882"	"0.560"	"0.115"	"0.089"	"0.051"	"0.042"	"0.033"	"0.028"	"58681.7"	"55530.0"	"51738.3"	"32836.0"	"6746.2"	"5219.5"	"3006.2"	"2486.9"	"1932.2"	"1631.0"	"23"	"23"	"23"	"23"	"23"	"23"	"23"	"23"	"23"	"23"	"114.478"	"0"	"5275.70445332809"	"13"
"False"	"IsMasterProtein"	"PF3D7_0703500"	"organism=Plasmodium_falciparum_3D7 | product=erythrocyte membrane-associated antigen | location=Pf3D7_07_v3:135606-142505(+) | length=2299 | sequence_SO=chromosome | SO=protein_coding"	"31.1004784688995"	"57"	"285"	"57"	"1"	"2299"	"264.751"	"8.6"	""	"0.863"	"0.819"	"0.667"	"0.516"	"0.482"	"0.487"	"0.495"	"0.439"	"0.458"	"35106.4"	"30309.6"	"28760.8"	"23408.1"	"18131.8"	"16937.3"	"17087.7"	"17386.6"	"15398.4"	"16078.4"	"104"	"104"	"104"	"104"	"104"	"104"	"104"	"104"	"104"	"104"	"7.969"	"0"	"5175.18319439453"	"57"
"False"	"IsMasterProtein"	"PF3D7_1357000"	"organism=Plasmodium_falciparum_3D7 | product=elongation factor 1-alpha | location=Pf3D7_13_v3:2265817-2267148(-) | length=443 | sequence_SO=chromosome | SO=protein_coding"	"56.4334085778781"	"26"	"296"	"23"	"1"	"443"	"48.928"	"9.06"	""	"0.960"	"0.773"	"0.442"	"0.180"	"0.137"	"0.113"	"0.107"	"0.091"	"0.086"	"62591.0"	"60058.0"	"48400.5"	"27634.7"	"11253.7"	"8570.5"	"7066.5"	"6687.9"	"5691.3"	"5364.5"	"34"	"34"	"34"	"34"	"34"	"34"	"34"	"34"	"34"	"34"	"44.204"	"3"	"5157.44429994739"	"26"
"False"	"IsMasterProtein"	"PF3D7_1023900"	"organism=Plasmodium_falciparum_3D7 | product=chromodomain-helicase-DNA-binding protein 1 homolog, putative (CHD1) | location=Pf3D7_10_v3:997475-1007461(-) | length=3328 | sequence_SO=chromosome | SO=protein_coding"	"24.0084134615385"	"73"	"244"	"73"	"1"	"3328"	"381.018"	"6.33"	""	"0.924"	"0.904"	"0.810"	"0.580"	"0.514"	"0.514"	"0.520"	"0.451"	"0.469"	"29241.7"	"27015.7"	"26445.8"	"23696.0"	"16954.2"	"15027.2"	"15018.9"	"15194.8"	"13181.7"	"13719.7"	"108"	"108"	"108"	"108"	"108"	"108"	"108"	"108"	"108"	"108"	"4.045"	"0"	"4853.39807673493"	"73"
"False"	"IsMasterProtein"	"PF3D7_1021900"	"organism=Plasmodium_falciparum_3D7 | product=conserved Plasmodium protein (10b antigen), unknown function | location=Pf3D7_10_v3:905473-912345(-) | length=2290 | sequence_SO=chromosome | SO=protein_coding"	"31.4410480349345"	"69"	"356"	"66"	"1"	"2290"	"267.222"	"9.26"	""	"0.928"	"0.939"	"0.868"	"0.723"	"0.685"	"0.703"	"0.722"	"0.629"	"0.667"	"28675.1"	"26623.3"	"26919.0"	"24883.1"	"20721.0"	"19630.2"	"20148.6"	"20710.9"	"18039.5"	"19125.7"	"114"	"114"	"114"	"114"	"114"	"114"	"114"	"114"	"114"	"114"	"8.034"	"3"	"4806.44096656418"	"69"
"False"	"IsMasterProtein"	"PF3D7_0917900"	"organism=Plasmodium_falciparum_3D7 | product=heat shock protein 70 (HSP70-2) | location=Pf3D7_09_v3:737985-740276(+) | length=652 | sequence_SO=chromosome | SO=protein_coding"	"46.4723926380368"	"31"	"292"	"30"	"1"	"652"	"72.343"	"5.31"	""	"0.909"	"0.661"	"0.302"	"0.156"	"0.125"	"0.121"	"0.123"	"0.102"	"0.083"	"42334.2"	"38494.0"	"27994.1"	"12795.8"	"6598.9"	"5283.7"	"5140.3"	"5193.9"	"4313.0"	"3523.4"	"50"	"50"	"50"	"50"	"50"	"50"	"50"	"50"	"50"	"50"	"45.416"	"1"	"4788.04347062499"	"31"
"False"	"IsMasterProtein"	"PF3D7_0818200"	"organism=Plasmodium_falciparum_3D7 | product=14-3-3 protein (14-3-3I) | location=Pf3D7_08_v3:830006-831454(+) | length=262 | sequence_SO=chromosome | SO=protein_coding"	"62.2137404580153"	"18"	"213"	"15"	"1"	"262"	"30.174"	"4.92"	"Acetyl [N-Term]"	"0.986"	"0.909"	"0.473"	"0.191"	"0.134"	"0.098"	"0.085"	"0.067"	"0.055"	"39999.1"	"39440.1"	"36345.5"	"18903.7"	"7629.5"	"5378.1"	"3937.4"	"3394.0"	"2689.1"	"2197.1"	"33"	"33"	"33"	"33"	"33"	"33"	"33"	"33"	"33"	"33"	"140.254"	"5"	"4667.90321906699"	"18"
"False"	"IsMasterProtein"	"PF3D7_0511800"	"organism=Plasmodium_falciparum_3D7 | product=inositol-3-phosphate synthase (INO1) | location=Pf3D7_05_v3:520720-522693(-) | length=604 | sequence_SO=chromosome | SO=protein_coding"	"46.8543046357616"	"31"	"249"	"31"	"1"	"604"	"69.069"	"7.4"	""	"0.981"	"0.950"	"0.891"	"0.569"	"0.475"	"0.415"	"0.392"	"0.314"	"0.249"	"25790.2"	"25294.6"	"24500.5"	"22987.7"	"14672.6"	"12246.7"	"10700.5"	"10111.3"	"8099.7"	"6428.3"	"54"	"54"	"54"	"54"	"54"	"54"	"54"	"54"	"54"	"54"	"50.348"	"0"	"4561.89059035071"	"31"
"False"	"IsMasterProtein"	"PF3D7_1138500"	"organism=Plasmodium_falciparum_3D7 | product=protein phosphatase 2C (PPM2) | location=Pf3D7_11_v3:1518464-1521238(+) | length=924 | sequence_SO=chromosome | SO=protein_coding"	"49.4588744588745"	"40"	"178"	"40"	"1"	"924"	"105.339"	"4.51"	""	"0.950"	"0.944"	"0.867"	"0.450"	"0.421"	"0.411"	"0.423"	"0.353"	"0.337"	"23722.4"	"22529.7"	"22383.2"	"20577.4"	"10665.6"	"9981.7"	"9747.3"	"10043.0"	"8374.2"	"7991.9"	"69"	"69"	"69"	"69"	"69"	"69"	"69"	"69"	"69"	"69"	"57.539"	"0"	"4531.41019133886"	"40"
"False"	"IsMasterProtein"	"PF3D7_0524000"	"organism=Plasmodium_falciparum_3D7 | product=karyopherin beta (KASbeta) | location=Pf3D7_05_v3:998753-1002124(+) | length=1123 | sequence_SO=chromosome | SO=protein_coding"	"37.5779162956367"	"40"	"217"	"40"	"1"	"1123"	"127.272"	"4.92"	""	"0.948"	"0.943"	"0.943"	"0.715"	"0.501"	"0.182"	"0.128"	"0.095"	"0.081"	"34229.6"	"32448.1"	"32277.0"	"32280.9"	"24479.6"	"17159.5"	"6236.1"	"4374.7"	"3241.7"	"2761.6"	"63"	"63"	"63"	"63"	"63"	"63"	"63"	"63"	"63"	"63"	"9.33"	"0"	"4455.99696143901"	"40"
"False"	"IsMasterProtein"	"PF3D7_0915400"	"organism=Plasmodium_falciparum_3D7 | product=6-phosphofructokinase (PFK9) | location=Pf3D7_09_v3:650585-654841(-) | length=1418 | sequence_SO=chromosome | SO=protein_coding"	"37.4471086036671"	"48"	"254"	"48"	"1"	"1418"	"159.351"	"6.76"	""	"0.924"	"0.871"	"0.727"	"0.291"	"0.171"	"0.116"	"0.087"	"0.088"	"0.065"	"49274.3"	"45513.1"	"42921.4"	"35835.4"	"14358.4"	"8449.8"	"5716.9"	"4287.3"	"4344.4"	"3209.2"	"77"	"77"	"77"	"77"	"77"	"77"	"77"	"77"	"77"	"77"	"9.826"	"0"	"4380.9209380704"	"48"
"False"	"IsMasterProtein"	"PF3D7_1324900"	"organism=Plasmodium_falciparum_3D7 | product=L-lactate dehydrogenase (LDH) | location=Pf3D7_13_v3:1041157-1042107(+) | length=316 | sequence_SO=chromosome | SO=protein_coding"	"43.9873417721519"	"11"	"177"	"11"	"1"	"316"	"34.086"	"7.55"	""	"0.759"	"0.683"	"0.585"	"0.162"	"0.114"	"0.075"	"0.066"	"0.058"	"0.051"	"51522.3"	"39090.8"	"35191.5"	"30158.3"	"8336.3"	"5876.7"	"3869.7"	"3386.5"	"2997.5"	"2625.5"	"20"	"20"	"20"	"20"	"20"	"20"	"20"	"20"	"20"	"20"	"86.333"	"0"	"4302.07680209119"	"11"
